Team,Nationality,Position,Age,Potential,Name
R. Sporting ,Spain,Mediocampista Derecho | Mediocampista Izquierdo,19,Bueno,Pelayo Morilla
Club Bolívar ,El Salvador,Defensor Central,23,Bueno,Roberto Domínguez
Hull City ,Scotland,Segundo Delantero | Extremo Derecho,19,Muy Bueno,James Scott
Levante UD ,Spain,Mediocampista Derecho | Centrocampista Ofensivo Central,22,Bueno,Joan Monterde
Gangwon FC ,Korea Republic,Segundo Delantero,24,Bueno,Kim Ji Hyun
FC København ,Denmark,Segundo Delantero | Extremo Izquierdo,19,Bueno,Mikkel Kaufmann
IFK Göteborg ,Sweden,Centrocampista Ofensivo Central | Delantero Centro,29,Bueno,Sargon Abraham
CD Universidad de Concepción ,Chile,Segundo Delantero,26,Bueno,Steffan Pino
VfB Stuttgart ,Germany,Defensor Central,22,Bueno,Maxime Awoudja
Brentford ,Denmark,Defensor Central,21,Bueno,Luka Racic
Shanghai Greenland Shenhua FC ,China PR,Defensor Central,19,Bueno,Zhu Chenjie
Hokkaido Consadole Sapporo ,Japan,Arquero,36,Bueno,Takanori Sugeno
CS Emelec ,Venezuela,Segundo Delantero,25,Bueno,Edwuin Pernía
Wolfsberger AC ,Austria,Defensor Lateral Derecho,28,Bueno,Stefan Gölles
Deportivo Cali ,Colombia,Defensor Central,20,Muy Bueno,Kevin Moreno
Deportivo Pasto ,Colombia,Mediocampista Defensivo Central | Mediocampista Central,26,Bueno,Ederson Moreno
SønderjyskE ,Denmark,Mediocampista Central | Centrocampista Ofensivo Central,19,Bueno,Emil Frederiksen
Eintracht Braunschweig ,Germany,Defensor Lateral Derecho | Mediocampista Derecho,21,Bueno,Kevin Goden
Marítimo ,Portugal,Arquero,23,Bueno,Pedro Mateus
Sint-Truidense VV ,Belgium,Centrocampista Ofensivo Central | Delantero Centro,20,Bueno,Hamza Massoudi
FC Admira Wacker Mödling ,Austria,Defensor Lateral Derecho | Defensor Central,27,Bueno,Sebastian Bauer
Karlsruher SC ,Austria,Defensor Central | Mediocampista Defensivo Central,22,Bueno,Christoph Kobald
FC Midtjylland ,Sweden,Mediocampista Defensivo Central | Mediocampista Central,20,Bueno,Jens-Lys Cajuste
TSV Hartberg ,Austria,Arquero,31,Bueno,Florian Faist
St. Mirren ,Scotland,Segundo Delantero,25,Bueno,Danny Mullen
Matsumoto Yamaga F.C. ,Japan,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,27,Bueno,Toshiya Takagi
Piast Gliwice ,Poland,Mediocampista Defensivo Central | Mediocampista Derecho | Mediocampista Izquierdo,22,Bueno,Sebastian Milewski
SC Preußen Münster ,Germany,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,24,Bueno,Alexander Rossipal
Pescara ,Italy,Segundo Delantero | Extremo Derecho,21,Bueno,Andrea Cisco
Górnik Zabrze ,Poland,Mediocampista Derecho | Centrocampista Ofensivo Central,21,Bueno,David Kopacz
FC Bayern München II ,Germany,Mediocampista Izquierdo | Centrocampista Ofensivo Central | Extremo Izquierdo,19,Muy Bueno,Oliver Batista Meier
SC Preußen Münster ,Germany,Mediocampista Central | Centrocampista Ofensivo Central | Delantero Centro,22,Bueno,Heinz Mörschel
Esbjerg fB ,Ukraine,Segundo Delantero,26,Bueno,Yuriy Yakovenko
Neuchâtel Xamax FCS ,Kosovo,Defensor Central,22,Bueno,Arbenit Xhemajli
St. Mirren ,Scotland,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Central,21,Bueno,Kyle Magennis
SV Werder Bremen ,Germany,Mediocampista Derecho | Centrocampista Ofensivo Central,20,Bueno,David Philipp
Slask Wroclaw ,Poland,Mediocampista Defensivo Central | Centrocampista Ofensivo Central,27,Bueno,Mateusz Radecki
En Avant Guingamp ,Mali,Defensor Central,20,Bueno,Djegui Koita
Orlando Pirates ,South Africa,Defensor Extremo Derecho | Defensor Lateral Derecho | Mediocampista Defensivo Central | Extremo Derecho,29,Bueno,Abel Mabaso
Barnsley ,Germany,Defensor Lateral Izquierdo,20,Bueno,Kilian Ludewig
Hobro IK ,Bosnia & Herzegovina,Defensor Extremo Derecho | Defensor Lateral Derecho | Extremo Derecho,24,Bueno,Kerim Memija
Eintracht Braunschweig ,Germany,Defensor Lateral Izquierdo | Mediocampista Izquierdo,28,Bueno,Lasse Schlüter
Lechia Gdansk ,Afghanistan,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,22,Bueno,Omran Haydary
Wellington Phoenix ,New Zealand,Mediocampista Derecho | Mediocampista Izquierdo,21,Bueno,Callum McCowatt
WSG Swarovski Tirol ,Austria,Mediocampista Derecho | Mediocampista Central | Centrocampista Ofensivo Central,24,Bueno,Florian Rieder
Manchester United ,Northern Ireland,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,19,Muy Bueno,Ethan Galbraith
Arka Gdynia ,Netherlands,Segundo Delantero,29,Bueno,Fabian Serrarens
RKC Waalwijk ,Netherlands,Defensor Lateral Izquierdo | Defensor Central,25,Bueno,Lars Nieuwpoort
Santa Clara ,Portugal,Arquero,22,Bueno,Rodolfo Cardoso
FC Sochaux-Montbéliard ,France,Defensor Lateral Derecho,22,Bueno,Salem Mbakata
US Orléans Loiret Football ,Haiti,Defensor Lateral Derecho,24,Bueno,Stéphane Lambèse
Venezia ,Italy,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Central,20,Muy Bueno,Fabrizio Caligara
Godoy Cruz ,Argentina,Mediocampista Central,19,Bueno,Valentín Burgoa
Real Betis ,Spain,Arquero,20,Bueno,Daniel Rebollo
Sagan Tosu ,Japan,Defensor Central,24,Bueno,Daiki Miya
Independiente Santa Fe ,Colombia,Defensor Lateral Izquierdo,21,Bueno,Edwin Herrera
SC Preußen Münster ,Germany,Defensor Lateral Izquierdo | Defensor Central | Mediocampista Izquierdo,25,Bueno,Niklas Heidemann
Daegu FC ,Korea Republic,Segundo Delantero,21,Bueno,Lim Jae Hyeok
Levante UD ,Spain,Mediocampista Central | Centrocampista Ofensivo Central,22,Bueno,Pablo Martínez
Atlético Madrid ,Brazil,Arquero,21,Bueno,Álex Dos Santos
Arsenal de Sarandí ,Argentina,Defensor Lateral Derecho,22,Bueno,Ulises Abreliano
Górnik Zabrze ,Poland,Defensor Central,22,Bueno,Przemyslaw Wisniewski
Wisla Kraków ,Slovakia,Segundo Delantero | Extremo Izquierdo,22,Bueno,Lubomír Tupta
LOSC Lille ,France,Defensor Lateral Izquierdo | Defensor Central,22,Bueno,Ruben Droehnle
Kalmar FF ,Sweden,Defensor Central,25,Bueno,Henrik Löfkvist
Brescia ,Italy,Mediocampista Defensivo Central | Mediocampista Central,19,Bueno,Mattia Viviani
Wolverhampton Wanderers ,Germany,Segundo Delantero | Centrocampista Ofensivo Central | Extremo Derecho,21,Bueno,Meritan Shabani
1. FSV Mainz 05 ,Germany,Arquero,22,Bueno,Finn Dahmen
Shimizu S-Pulse ,Japan,Defensor Lateral Izquierdo | Mediocampista Izquierdo | Centrocampista Ofensivo Central,25,Bueno,Hideki Ishige
Blackburn Rovers ,England,Mediocampista Central,20,Bueno,John Buckley
Seattle Sounders FC ,Kenya,Mediocampista Izquierdo,23,Bueno,Handwalla Bwana
IK Sirius ,Sweden,Defensor Lateral Izquierdo,24,Bueno,Axel Björnström
Grenoble Foot 38 ,Iceland,Segundo Delantero,21,Bueno,Kristófer Kristinsson
Shonan Bellmare ,Japan,Defensor Lateral Derecho | Mediocampista Derecho | Mediocampista Izquierdo,21,Bueno,Hirokazu Ishihara
Shonan Bellmare ,Japan,Defensor Central,25,Bueno,Keisuke Saka
Hamburger SV ,Germany,Defensor Central,21,Bueno,Stephan Ambrosius
AFC Chindia Târgovi?te ,Romania,Defensor Central,31,Bueno,Alexandru Benga
ESTAC Troyes ,France,Defensor Lateral Izquierdo,22,Bueno,Terence Baya
Scunthorpe United ,Sudan,Mediocampista Izquierdo,24,Bueno,Abo Eisa
AIK ,Sweden,Mediocampista Central,20,Bueno,Bilal Hussein
SpVgg Unterhaching ,Germany,Mediocampista Defensivo Central | Mediocampista Central,20,Bueno,Niclas Stierlin
Fotbal Club Viitorul Constan?a ,Morocco,Mediocampista Central,23,Bueno,Malcom Edjouma
Hamilton Academical FC ,England,Segundo Delantero | Mediocampista Izquierdo,24,Bueno,Mickel Miller
FC St. Pauli ,Germany,Mediocampista Defensivo Central,22,Bueno,Ersin Zehir
SG Sonnenhof Großaspach ,Germany,Segundo Delantero,26,Bueno,Kai Brünker
Argentinos Juniors ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,20,Muy Bueno,Fausto Vera
Al Wehda ,Saudi Arabia,Mediocampista Derecho | Mediocampista Central | Centrocampista Ofensivo Central,28,Bueno,Ali Al Nemer
Cambridge United ,England,Mediocampista Izquierdo,26,Bueno,Luke Hannant
Deportes Tolima ,Colombia,Defensor Lateral Derecho,24,Bueno,Jonathan Marulanda
Jaguares Fútbol Club ,Colombia,Mediocampista Izquierdo | Mediocampista Central | Centrocampista Ofensivo Central,28,Bueno,Róger Lemus
FC Lorient ,France,Defensor Lateral Derecho | Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,Maxime Etuin
Blackpool ,England,Mediocampista Defensivo Central | Mediocampista Central,23,Bueno,Matty Virtue
IK Sirius ,Sweden,Mediocampista Derecho | Mediocampista Izquierdo,25,Bueno,Adam Ståhl
Forest Green Rovers ,England,Mediocampista Izquierdo,29,Bueno,Dayle Grubb
SC Preußen Münster ,Germany,Defensor Lateral Izquierdo | Defensor Central,25,Bueno,Oliver Steurer
1. FC Magdeburg ,Germany,Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Marcel Costly
Stade Malherbe Caen ,Finland,Extremo Derecho,21,Bueno,Timo Stavitski
Sepsi OSK Sfântu Gheorghe ,Romania,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,22,Bueno,Nicolae Carnat
FC Bayern München II ,Germany,Arquero,21,Bueno,Ron-Thorben Hoffmann
Helsingborgs IF ,Sweden,Defensor Lateral Izquierdo | Defensor Central,29,Bueno,Erik Figueroa
Örebro SK ,Sweden,Segundo Delantero,18,Bueno,Jack Lahne
Jiangsu Suning FC ,China PR,Segundo Delantero | Mediocampista Derecho,23,Bueno,Huang Zichang
SV Darmstadt 98 ,Germany,Defensor Lateral Izquierdo | Defensor Central,20,Bueno,Patric Pfeiffer
Al Raed ,Saudi Arabia,Mediocampista Defensivo Central,23,Bueno,Sultan Farhan
Defensa y Justicia ,Argentina,Defensor Lateral Izquierdo,22,Bueno,Nahuel Gallardo
Athletic Club ,Spain,Defensor Lateral Derecho | Defensor Central,22,Bueno,Sillero
Esbjerg fB ,Finland,Extremo Derecho | Extremo Izquierdo,25,Bueno,Pyry Soiri
FC Nantes ,France,Mediocampista Izquierdo | Mediocampista Central,19,Muy Bueno,Abdoulaye Dabo
Guangzhou Evergrande Taobao FC ,China PR,Defensor Central,25,Bueno,Liu Yiming
Adelaide United ,Australia,Defensor Lateral Derecho,23,Bueno,Ryan Strain
Cosenza ,Senegal,Mediocampista Central,21,Bueno,Franck Elimane Kanoute
Shimizu S-Pulse ,Japan,Defensor Lateral Derecho | Defensor Central,21,Bueno,Makoto Okazaki
KFC Uerdingen 05 ,Germany,Mediocampista Defensivo Central | Mediocampista Central,20,Bueno,Jean-Manuel Mbom
La Equidad ,Venezuela,Mediocampista Defensivo Central,33,Bueno,Juan Colina
Levante UD ,Spain,Defensor Central,23,Bueno,Gonzalo Pereira
Godoy Cruz ,Argentina,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Extremo Izquierdo,21,Bueno,Enzo Ybáñez
Wycombe Wanderers ,Northern Ireland,Segundo Delantero | Extremo Derecho | Extremo Izquierdo,22,Bueno,Paul Smyth
Leyton Orient ,England,Defensor Lateral Derecho | Mediocampista Defensivo Central | Mediocampista Central,21,Bueno,George Marsh
Huddersfield Town ,England,Defensor Lateral Izquierdo,21,Bueno,Jaden Brown
SD Huesca ,Spain,Defensor Central,20,Bueno,Kike Hermoso
Bohemian FC ,Republic of Ireland,Centrocampista Ofensivo Central,21,Bueno,Danny Mandroiu
Silkeborg IF ,Denmark,Mediocampista Central | Centrocampista Ofensivo Central,21,Bueno,Magnus Mattsson
Bristol Rovers ,Wales,Defensor Central,22,Bueno,Rollin Menayese
Stoke City ,Denmark,Mediocampista Defensivo Central | Mediocampista Central,20,Bueno,Lasse Sørensen
Trabzonspor ,Turkey,Arquero,19,Bueno,Arda Akbulut
Ross County FC ,Scotland,Segundo Delantero,22,Bueno,Oli Shaw
Rochdale ,Wales,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Extremo Izquierdo,21,Bueno,Rhys Norrington-Davies
AS Monaco Football Club SA ,Cameroon,Defensor Lateral Derecho,24,Bueno,Pierre-Daniel Nguinda
LKS Lódz ,Spain,Defensor Central,27,Bueno,Carlos Gracia
Al Nassr ,Saudi Arabia,Mediocampista Derecho,25,Bueno,Fahad Bin Jamayah
Stade de Reims ,France,Defensor Lateral Derecho | Defensor Lateral Izquierdo,21,Bueno,Sambou Sissoko
Çaykur Rizespor ,Turkey,Mediocampista Defensivo Central,21,Bueno,Oguz Kagan Güçtekin
Watford ,England,Mediocampista Defensivo Central | Mediocampista Central,21,Bueno,Callum Whelan
Brescia ,Italy,Defensor Lateral Derecho | Defensor Central | Mediocampista Derecho,22,Bueno,Alessandro Semprini
Macclesfield Town ,France,Segundo Delantero | Mediocampista Izquierdo,28,Bueno,Arthur Gnahoua
Arsenal ,England,Defensor Lateral Izquierdo | Defensor Central,20,Muy Bueno,Zech Medley
Brøndby IF ,Norway,Mediocampista Defensivo Central | Mediocampista Central,21,Bueno,Tobias Børkeeiet
CD O'Higgins ,Chile,Arquero,21,Bueno,Luis Ureta
Chamois Niortais Football Club ,France,Mediocampista Defensivo Central | Mediocampista Central,21,Bueno,Yacine Bourhane
TSV Hartberg ,Austria,Mediocampista Derecho | Mediocampista Izquierdo,20,Bueno,Michael Lema
Standard de Liège ,Belgium,Mediocampista Defensivo Central | Mediocampista Central,19,Bueno,Nicolas Raskin
Hallescher FC ,Germany,Defensor Central | Mediocampista Defensivo Central,22,Bueno,Jannes Vollert
Chievo Verona ,Italy,Arquero,34,Bueno,Michele Nardi
AC Horsens ,Denmark,Mediocampista Central,27,Bueno,Ayo Simon Okosun
Reading ,England,Segundo Delantero | Centrocampista Ofensivo Central,19,Muy Bueno,Danny Loader
Fútbol Club Juárez ,Mexico,Segundo Delantero,23,Bueno,Brian Rubio
Waasland-Beveren ,Belgium,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,21,Bueno,Denzel Jubitana
Roma ,France,Defensor Central,20,Bueno,William Bianda
SCR Altach ,Austria,Mediocampista Derecho | Mediocampista Central | Centrocampista Ofensivo Central,20,Bueno,Johannes Tartarotti
U.N.A.M. ,Mexico,Arquero,25,Bueno,José Alberto Castillo
U.N.A.M. ,Mexico,Mediocampista Central | Centrocampista Ofensivo Central,22,Bueno,Alejandro Zamudio
FC Thun ,Switzerland,Defensor Lateral Derecho | Defensor Lateral Izquierdo,25,Bueno,Chris Kablan
FC Red Bull Salzburg ,Switzerland,Arquero,22,Bueno,Philipp Köhn
Doncaster Rovers ,Senegal,Arquero,25,Bueno,Seny Dieng
SV Meppen ,Germany,Mediocampista Derecho,25,Bueno,René Guder
FC Basel 1893 ,Angola,Segundo Delantero | Mediocampista Izquierdo,21,Bueno,Afimico Pululu
Stevenage ,England,Segundo Delantero,29,Bueno,Danny Newton
SønderjyskE ,Denmark,Mediocampista Derecho | Mediocampista Central,21,Bueno,Julius Eskesen
SV Wehen Wiesbaden ,Germany,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,24,Bueno,Michel Niemeyer
SpVgg Unterhaching ,Germany,Defensor Lateral Derecho | Defensor Central,30,Bueno,Josef Welzmüller
FC Carl Zeiss Jena ,Germany,Defensor Lateral Derecho | Mediocampista Derecho,25,Bueno,Dominik Bock
FC Carl Zeiss Jena ,Germany,Mediocampista Derecho | Mediocampista Central | Centrocampista Ofensivo Central,30,Bueno,René Eckardt
Lechia Gdansk ,Brazil,Defensor Lateral Izquierdo | Mediocampista Izquierdo,23,Bueno,Conrado
SG Sonnenhof Großaspach ,Germany,Mediocampista Defensivo Central | Mediocampista Central,27,Bueno,Jamil Dem
Heart of Midlothian ,Scotland,Defensor Extremo Derecho | Defensor Lateral Derecho | Defensor Lateral Izquierdo | Extremo Derecho,22,Bueno,Jamie Brandon
Hallescher FC ,Germany,Arquero,22,Bueno,Tom Müller
SV Meppen ,Lebanon,Mediocampista Derecho | Mediocampista Izquierdo | Delantero Centro,25,Bueno,Hilal El-Helwe
Sportverein Waldhof Mannheim 07 e.V. ,Germany,Defensor Lateral Izquierdo,27,Bueno,Marcel Hofrath
FSV Zwickau ,Germany,Defensor Lateral Izquierdo | Defensor Central,26,Bueno,Ali Odabas
SC Preußen Münster ,Germany,Segundo Delantero | Mediocampista Izquierdo | Extremo Derecho,26,Bueno,Luca Schnellbacher
Daegu FC ,Korea Republic,Defensor Central,23,Bueno,Jeong Tae Wook
FC Nantes ,France,Segundo Delantero,21,Bueno,Élie Youan
Eintracht Braunschweig ,Germany,Mediocampista Izquierdo | Extremo Izquierdo,24,Bueno,Mike Feigenspan
F.C. Tokyo ,Japan,Segundo Delantero | Extremo Izquierdo,21,Bueno,Kyosuke Tagawa
Havre Athletic Club ,France,Segundo Delantero | Mediocampista Izquierdo,23,Bueno,Alan Dzabana
Fotbal Club Academica Clinceni ,Romania,Segundo Delantero,19,Bueno,Jovan Markovic
SSV Jahn Regensburg ,Germany,Segundo Delantero,26,Bueno,Jan-Marc Schneider
Kristiansund BK ,Norway,Segundo Delantero | Mediocampista Derecho | Extremo Derecho,30,Bueno,Bendik Bye
Burton Albion ,England,Defensor Lateral Derecho | Defensor Central,21,Bueno,Richard Nartey
Ranheim Fotball ,Norway,Defensor Lateral Derecho,25,Bueno,Øyvind Alseth
Sligo Rovers ,England,Defensor Lateral Derecho | Defensor Lateral Izquierdo,23,Bueno,Lewis Banks
Motherwell ,Netherlands,Extremo Derecho | Extremo Izquierdo,22,Bueno,Sherwin Seedorf
Cerezo Osaka ,Japan,Segundo Delantero,26,Bueno,Ryuji Sawakami
Suwon Samsung Bluewings ,Korea Republic,Mediocampista Defensivo Central,25,Bueno,Lee Sang Min
Valenciennes FC ,France,Segundo Delantero | Mediocampista Izquierdo,22,Bueno,Steve Ambri
Everton ,Portugal,Arquero,20,Bueno,João Virgínia
Sheffield United ,England,Centrocampista Ofensivo Central,21,Bueno,Callum Gribbin
Cádiz CF ,Nigeria,Defensor Central,22,Bueno,Saturday Erimuya
Oxford United ,England,Mediocampista Izquierdo | Extremo Izquierdo,22,Bueno,Nathan Holland
Atlético Bucaramanga ,Colombia,Defensor Lateral Derecho | Mediocampista Defensivo Central,26,Bueno,Nicolás Roa
VfL Bochum 1848 ,Germany,Segundo Delantero | Centrocampista Ofensivo Central | Extremo Izquierdo,21,Bueno,Ulrich Bapoh
Chievo Verona ,Italy,Defensor Lateral Derecho,24,Bueno,Michele Troiani
FC St. Pauli ,Korea Republic,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Mediocampista Defensivo Central,26,Bueno,Park Yi-Young
Bohemian FC ,Republic of Ireland,Defensor Central,22,Bueno,Dan Casey
Yokohama F·Marinos ,Japan,Arquero,34,Bueno,Hirotsugu Nakabayashi
Blackpool ,England,Mediocampista Defensivo Central | Mediocampista Central,21,Bueno,Kiernan Dewsbury-Hall
Pescara ,Italy,Mediocampista Central,21,Bueno,Filippo Melegoni
BK Häcken ,Sweden,Mediocampista Izquierdo,22,Bueno,Leo Bengtsson
IK Sirius ,Sweden,Arquero,27,Bueno,Lukas Jonsson
Stoke City ,England,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,20,Bueno,Tashan Oakley-Boothe
Sangju Sangmu FC ,Korea Republic,Defensor Lateral Derecho | Defensor Lateral Izquierdo,24,Bueno,Lee Sang Ki
Gangwon FC ,Korea Republic,Segundo Delantero | Mediocampista Central,25,Bueno,Kim Hyeon Wook
Sepsi OSK Sfântu Gheorghe ,Romania,Arquero,25,Bueno,Béla Fejér
Atlético Madrid ,Spain,Segundo Delantero,23,Bueno,Darío Poveda
Colo-Colo ,Chile,Centrocampista Ofensivo Central,21,Bueno,Carlo Villanueva
Club Atlético Banfield ,Argentina,Mediocampista Central | Centrocampista Ofensivo Central,22,Bueno,Matías Moya
FC Cincinnati ,United States,Segundo Delantero,21,Bueno,Brandon Vazquez
FK Austria Wien ,Denmark,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,20,Bueno,Andreas Poulsen
Yeni Malatyaspor ,Turkey,Defensor Central,22,Bueno,Yigithan Güveli
Nîmes Olympique ,France,Arquero,21,Bueno,Lucas Dias
Jaguares Fútbol Club ,Colombia,Defensor Lateral Derecho | Defensor Central | Mediocampista Defensivo Central,25,Bueno,Fabián Mosquera
AS Nancy Lorraine ,Cape Verde,Mediocampista Defensivo Central | Mediocampista Central,20,Bueno,Kenny Rocha Santos
Feyenoord ,Netherlands,Arquero,22,Bueno,Ramón ten Hove
Sevilla FC ,Spain,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,22,Bueno,Pepe Mena
FC Emmen ,Switzerland,Mediocampista Defensivo Central | Mediocampista Central,21,Bueno,Filip Ugrinic
Chamois Niortais Football Club ,France,Defensor Lateral Derecho | Mediocampista Defensivo Central,22,Bueno,Quentin Bena
Portland Timbers ,United States,Defensor Lateral Izquierdo | Defensor Central | Mediocampista Defensivo Central,21,Bueno,Marco Farfan
Brøndby IF ,Denmark,Defensor Central,22,Bueno,Joel Kabongo
Dinamo Zagreb ,Croatia,Segundo Delantero,20,Muy Bueno,Sandro Kulenovic
Fotbal Club Academica Clinceni ,Portugal,Arquero,25,Bueno,Miguel Santos
Gillingham ,England,Defensor Central | Mediocampista Defensivo Central,22,Bueno,Alfie Jones
Shrewsbury ,England,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Extremo Izquierdo,23,Bueno,Sam Hart
Club Plaza de Deportes Colonia ,Uruguay,Segundo Delantero,26,Bueno,Juan Cruz Mascia
Tottenham Hotspur ,England,Arquero,21,Bueno,Alfie Whiteman
Portimonense SC ,Ghana,Extremo Derecho | Extremo Izquierdo,22,Bueno,Evans Mensah
Ceará Sporting Club ,Brazil,Mediocampista Central | Centrocampista Ofensivo Central,20,Bueno,Felipe Soldivia
Levante UD ,Spain,Arquero,23,Bueno,Dani Cárdenas
Western Sydney Wanderers ,Australia,Mediocampista Defensivo Central | Mediocampista Central,22,Bueno,Jordan O'Doherty
